nohup: 忽略输入
Experiment dir : exp/joint_cl_exp/IMDB-BINARY-joint_cl_exp-20250122-113619
01/22 11:36:19 AM Namespace(add_mask=False, aug_ratio=0.2, batch_size=16, data_root='../data', dataset='IMDB-BINARY', dropout=0, edge_norm=True, epoch_select='test_max', epochs=300, exp='joint_cl_exp', global_pool='sum', gpu=5, hidden=128, lr=0.001, lr_decay_factor=1.0, lr_decay_step_size=20, n_fold=10, n_layers_conv=3, n_layers_fc=2, n_layers_feat=1, res_branch='BNConvReLU', save='exp/joint_cl_exp/IMDB-BINARY-joint_cl_exp-20250122-113619', seed=0, semi_split=10, skip_connection=False, with_eval_mode=True)
01/22 11:36:19 AM -----
Total 1 experiments in this run:
01/22 11:36:19 AM 1/1 - IMDB-BINARY - deg+odeg100 - ResGCN
01/22 11:36:19 AM -----
1/1 - IMDB-BINARY - deg+odeg100 - ResGCN
01/22 11:36:19 AM **********
01/22 11:36:19 AM Fold: 0
01/22 11:36:19 AM Train size: 900
01/22 11:36:19 AM Semi size: 100
01/22 11:36:19 AM Test size: 100
01/22 11:36:21 AM **************************************************
01/22 11:36:22 AM Epoch: 001, Model Loss: 193.0331, Train Acc: 0.4500, Test Acc: 0.4200
01/22 11:36:23 AM Epoch: 002, Model Loss: 187.1011, Train Acc: 0.5000, Test Acc: 0.4600
01/22 11:36:23 AM Epoch: 003, Model Loss: 182.1452, Train Acc: 0.5900, Test Acc: 0.5400
01/22 11:36:24 AM Epoch: 004, Model Loss: 178.1936, Train Acc: 0.6900, Test Acc: 0.6400
01/22 11:36:24 AM Epoch: 005, Model Loss: 175.1198, Train Acc: 0.7800, Test Acc: 0.7100
01/22 11:36:25 AM Epoch: 006, Model Loss: 172.1653, Train Acc: 0.7800, Test Acc: 0.6800
01/22 11:36:25 AM Epoch: 007, Model Loss: 169.6268, Train Acc: 0.8000, Test Acc: 0.7100
01/22 11:36:26 AM Epoch: 008, Model Loss: 167.2957, Train Acc: 0.8400, Test Acc: 0.7200
01/22 11:36:26 AM Epoch: 009, Model Loss: 165.1469, Train Acc: 0.8500, Test Acc: 0.7300
01/22 11:36:27 AM Epoch: 010, Model Loss: 163.0207, Train Acc: 0.8900, Test Acc: 0.6700
01/22 11:36:27 AM Epoch: 011, Model Loss: 161.1638, Train Acc: 0.8500, Test Acc: 0.7100
01/22 11:36:28 AM Epoch: 012, Model Loss: 159.3964, Train Acc: 0.8900, Test Acc: 0.7200
01/22 11:36:28 AM Epoch: 013, Model Loss: 157.6461, Train Acc: 0.8300, Test Acc: 0.7000
01/22 11:36:29 AM Epoch: 014, Model Loss: 156.0122, Train Acc: 0.8500, Test Acc: 0.7100
01/22 11:36:29 AM Epoch: 015, Model Loss: 154.5004, Train Acc: 0.8300, Test Acc: 0.6800
01/22 11:36:30 AM Epoch: 016, Model Loss: 153.0457, Train Acc: 0.8300, Test Acc: 0.6500
01/22 11:36:30 AM Epoch: 017, Model Loss: 151.5712, Train Acc: 0.8700, Test Acc: 0.6500
01/22 11:36:31 AM Epoch: 018, Model Loss: 150.1920, Train Acc: 0.8600, Test Acc: 0.6600
01/22 11:36:31 AM Epoch: 019, Model Loss: 148.8256, Train Acc: 0.8700, Test Acc: 0.6800
01/22 11:36:32 AM Epoch: 020, Model Loss: 147.4643, Train Acc: 0.9200, Test Acc: 0.6900
01/22 11:36:32 AM Epoch: 021, Model Loss: 146.1155, Train Acc: 0.8900, Test Acc: 0.6200
01/22 11:36:33 AM Epoch: 022, Model Loss: 144.9068, Train Acc: 0.9300, Test Acc: 0.6700
01/22 11:36:33 AM Epoch: 023, Model Loss: 143.5240, Train Acc: 0.8900, Test Acc: 0.6300
01/22 11:36:34 AM Epoch: 024, Model Loss: 142.2930, Train Acc: 0.8600, Test Acc: 0.6000
01/22 11:36:34 AM Epoch: 025, Model Loss: 141.1000, Train Acc: 0.8500, Test Acc: 0.5700
01/22 11:36:35 AM Epoch: 026, Model Loss: 139.9105, Train Acc: 0.8500, Test Acc: 0.6100
01/22 11:36:35 AM Epoch: 027, Model Loss: 138.6881, Train Acc: 0.8100, Test Acc: 0.6300
01/22 11:36:36 AM Epoch: 028, Model Loss: 137.7376, Train Acc: 0.9200, Test Acc: 0.6400
01/22 11:36:36 AM Epoch: 029, Model Loss: 136.2917, Train Acc: 0.8700, Test Acc: 0.6000
01/22 11:36:37 AM Epoch: 030, Model Loss: 135.1263, Train Acc: 0.8800, Test Acc: 0.6300
01/22 11:36:37 AM Epoch: 031, Model Loss: 133.9370, Train Acc: 0.8100, Test Acc: 0.5800
01/22 11:36:38 AM Epoch: 032, Model Loss: 132.7982, Train Acc: 0.8000, Test Acc: 0.6200
01/22 11:36:38 AM Epoch: 033, Model Loss: 131.8936, Train Acc: 0.8900, Test Acc: 0.6000
01/22 11:36:39 AM Epoch: 034, Model Loss: 130.5782, Train Acc: 0.9300, Test Acc: 0.6300
01/22 11:36:39 AM Epoch: 035, Model Loss: 129.5827, Train Acc: 0.9100, Test Acc: 0.6600
01/22 11:36:40 AM Epoch: 036, Model Loss: 128.8892, Train Acc: 0.9100, Test Acc: 0.6400
01/22 11:36:40 AM Epoch: 037, Model Loss: 127.5582, Train Acc: 0.9100, Test Acc: 0.6800
01/22 11:36:41 AM Epoch: 038, Model Loss: 126.6967, Train Acc: 0.9100, Test Acc: 0.6200
01/22 11:36:41 AM Epoch: 039, Model Loss: 125.9758, Train Acc: 0.9200, Test Acc: 0.5700
01/22 11:36:41 AM Epoch: 040, Model Loss: 125.1995, Train Acc: 0.9000, Test Acc: 0.6100
01/22 11:36:42 AM Epoch: 041, Model Loss: 124.3600, Train Acc: 0.9100, Test Acc: 0.5800
01/22 11:36:42 AM Epoch: 042, Model Loss: 123.4825, Train Acc: 0.9200, Test Acc: 0.6200
01/22 11:36:43 AM Epoch: 043, Model Loss: 122.5877, Train Acc: 0.9200, Test Acc: 0.6300
01/22 11:36:43 AM Epoch: 044, Model Loss: 121.6836, Train Acc: 0.9100, Test Acc: 0.6700
01/22 11:36:44 AM Epoch: 045, Model Loss: 121.1066, Train Acc: 0.9200, Test Acc: 0.6900
